chain_name,method,source_label,env_id,granularity,final_target,episodes,seed,deterministic,c_single,c_agg,c_adapt,c_build,c_total,final_success_rate,chain_completion_rate,avg_total_steps,modules,module_success/has_key,module_steps/has_key,module_success/opened_door,module_steps/opened_door,module_success/near_key,module_steps/near_key,module_success/near_key_to_has_key,module_steps/near_key_to_has_key,module_success/has_key_to_opened_door,module_steps/has_key_to_opened_door,module_success/approach_key,module_steps/approach_key,module_success/pickup_key,module_steps/pickup_key,module_success/approach_door,module_steps/approach_door,module_success/toggle_door,module_steps/toggle_door
B_seq_G0_adapt0,B_sequential,DoorKey->UnlockLocal->UnlockPickup,BabyAI-UnlockPickup-v0,G0,opened_door,30,0,False,350000,140000,0,490000,490000,0.36666666666666664,0.36666666666666664,58.7,has_key -> opened_door,0.7333333333333333,26.5,0.5,43.90909090909091,,,,,,,,,,,,,,
B_seq_G1_adapt0,B_sequential,DoorKey->UnlockLocal->UnlockPickup,BabyAI-UnlockPickup-v0,G1,opened_door,30,0,False,350000,140000,0,490000,490000,1.0,1.0,19.766666666666666,near_key -> near_key_to_has_key -> has_key_to_opened_door,,,,,1.0,5.9,1.0,2.7,1.0,11.166666666666666,,,,,,,,
B_seq_G2_adapt0,B_sequential,DoorKey->UnlockLocal->UnlockPickup,BabyAI-UnlockPickup-v0,G2,opened_door,30,0,False,350000,140000,0,490000,490000,1.0,1.0,15.966666666666667,approach_key -> pickup_key -> approach_door -> toggle_door,,,,,,,,,,,1.0,6.333333333333333,1.0,3.1666666666666665,1.0,5.466666666666667,1.0,1.0
B_seq_G0_adapt35,B_sequential,DoorKey->UnlockLocal->UnlockPickup,BabyAI-UnlockPickup-v0,G0,opened_door,30,0,False,350000,140000,35000,490000,525000,0.36666666666666664,0.36666666666666664,60.2,has_key -> opened_door,0.7333333333333333,26.566666666666666,0.5,45.86363636363637,,,,,,,,,,,,,,
B_seq_G1_adapt35,B_sequential,DoorKey->UnlockLocal->UnlockPickup,BabyAI-UnlockPickup-v0,G1,opened_door,30,0,False,350000,140000,35000,490000,525000,1.0,1.0,17.7,near_key -> near_key_to_has_key -> has_key_to_opened_door,,,,,1.0,5.933333333333334,1.0,2.533333333333333,1.0,9.233333333333333,,,,,,,,
B_seq_G2_adapt35,B_sequential,DoorKey->UnlockLocal->UnlockPickup,BabyAI-UnlockPickup-v0,G2,opened_door,30,0,False,350000,140000,35000,490000,525000,1.0,1.0,16.033333333333335,approach_key -> pickup_key -> approach_door -> toggle_door,,,,,,,,,,,1.0,7.0,1.0,2.7333333333333334,1.0,5.3,1.0,1.0
B_seq_G0_adapt70,B_sequential,DoorKey->UnlockLocal->UnlockPickup,BabyAI-UnlockPickup-v0,G0,opened_door,30,0,False,350000,140000,70000,490000,560000,0.4,0.4,55.1,has_key -> opened_door,0.7333333333333333,26.566666666666666,0.5454545454545454,38.90909090909091,,,,,,,,,,,,,,
B_seq_G1_adapt70,B_sequential,DoorKey->UnlockLocal->UnlockPickup,BabyAI-UnlockPickup-v0,G1,opened_door,30,0,False,350000,140000,70000,490000,560000,1.0,1.0,16.266666666666666,near_key -> near_key_to_has_key -> has_key_to_opened_door,,,,,1.0,5.833333333333333,1.0,2.533333333333333,1.0,7.9,,,,,,,,
B_seq_G2_adapt70,B_sequential,DoorKey->UnlockLocal->UnlockPickup,BabyAI-UnlockPickup-v0,G2,opened_door,30,0,False,350000,140000,70000,490000,560000,1.0,1.0,16.933333333333334,approach_key -> pickup_key -> approach_door -> toggle_door,,,,,,,,,,,1.0,6.1,1.0,4.4,1.0,5.433333333333334,1.0,1.0
B_seq_G0_adapt140,B_sequential,DoorKey->UnlockLocal->UnlockPickup,BabyAI-UnlockPickup-v0,G0,opened_door,30,0,False,350000,140000,140000,490000,630000,0.6666666666666666,0.6666666666666666,48.03333333333333,has_key -> opened_door,0.7333333333333333,26.5,0.9090909090909091,29.363636363636363,,,,,,,,,,,,,,
B_seq_G1_adapt140,B_sequential,DoorKey->UnlockLocal->UnlockPickup,BabyAI-UnlockPickup-v0,G1,opened_door,30,0,False,350000,140000,140000,490000,630000,1.0,1.0,15.166666666666666,near_key -> near_key_to_has_key -> has_key_to_opened_door,,,,,1.0,4.866666666666666,1.0,2.3,1.0,8.0,,,,,,,,
B_seq_G2_adapt140,B_sequential,DoorKey->UnlockLocal->UnlockPickup,BabyAI-UnlockPickup-v0,G2,opened_door,30,0,False,350000,140000,140000,490000,630000,1.0,1.0,14.466666666666667,approach_key -> pickup_key -> approach_door -> toggle_door,,,,,,,,,,,1.0,5.733333333333333,1.0,2.6666666666666665,1.0,5.066666666666666,1.0,1.0
